,Survived,Sex,Age
0,0,male,22.0
1,1,female,38.0
2,1,female,26.0
3,1,female,35.0
4,0,male,35.0
5,0,male,
6,0,male,54.0
7,0,male,2.0
8,1,female,27.0
9,1,female,14.0
10,1,female,4.0
11,1,female,58.0
12,0,male,20.0
13,0,male,39.0
14,0,female,14.0
15,1,female,55.0
16,0,male,2.0
17,1,male,
18,0,female,31.0
19,1,female,
20,0,male,35.0
21,1,male,34.0
22,1,female,15.0
23,1,male,28.0
24,0,female,8.0
25,1,female,38.0
26,0,male,
27,0,male,19.0
28,1,female,
29,0,male,
30,0,male,40.0
31,1,female,
32,1,female,
33,0,male,66.0
34,0,male,28.0
35,0,male,42.0
36,1,male,
37,0,male,21.0
38,0,female,18.0
39,1,female,14.0
40,0,female,40.0
41,0,female,27.0
42,0,male,
43,1,female,3.0
44,1,female,19.0
45,0,male,
46,0,male,
47,1,female,
48,0,male,
49,0,female,18.0
50,0,male,7.0
51,0,male,21.0
52,1,female,49.0
53,1,female,29.0
54,0,male,65.0
55,1,male,
56,1,female,21.0
57,0,male,28.5
58,1,female,5.0
59,0,male,11.0
60,0,male,22.0
61,1,female,38.0
62,0,male,45.0
63,0,male,4.0
64,0,male,
65,1,male,
66,1,female,29.0
67,0,male,19.0
68,1,female,17.0
69,0,male,26.0
70,0,male,32.0
71,0,female,16.0
72,0,male,21.0
73,0,male,26.0
74,1,male,32.0
75,0,male,25.0
76,0,male,
77,0,male,
78,1,male,0.83
79,1,female,30.0
80,0,male,22.0
81,1,male,29.0
82,1,female,
83,0,male,28.0
84,1,female,17.0
85,1,female,33.0
86,0,male,16.0
87,0,male,
88,1,female,23.0
89,0,male,24.0
90,0,male,29.0
91,0,male,20.0
92,0,male,46.0
93,0,male,26.0
94,0,male,59.0
95,0,male,
96,0,male,71.0
97,1,male,23.0
98,1,female,34.0
99,0,male,34.0
100,0,female,28.0
101,0,male,
102,0,male,21.0
103,0,male,33.0
104,0,male,37.0
105,0,male,28.0
106,1,female,21.0
107,1,male,
108,0,male,38.0
109,1,female,
110,0,male,47.0
111,0,female,14.5
112,0,male,22.0
113,0,female,20.0
114,0,female,17.0
115,0,male,21.0
116,0,male,70.5
117,0,male,29.0
118,0,male,24.0
119,0,female,2.0
120,0,male,21.0
121,0,male,
122,0,male,32.5
123,1,female,32.5
124,0,male,54.0
125,1,male,12.0
126,0,male,
127,1,male,24.0
128,1,female,
129,0,male,45.0
130,0,male,33.0
131,0,male,20.0
132,0,female,47.0
133,1,female,29.0
134,0,male,25.0
135,0,male,23.0
136,1,female,19.0
137,0,male,37.0
138,0,male,16.0
139,0,male,24.0
140,0,female,
141,1,female,22.0
142,1,female,24.0
143,0,male,19.0
144,0,male,18.0
145,0,male,19.0
146,1,male,27.0
147,0,female,9.0
148,0,male,36.5
149,0,male,42.0
150,0,male,51.0
151,1,female,22.0
152,0,male,55.5
153,0,male,40.5
154,0,male,
155,0,male,51.0
156,1,female,16.0
157,0,male,30.0
158,0,male,
159,0,male,
160,0,male,44.0
161,1,female,40.0
