Age,Gender,Education,Employment_Type,Income,Loan_Amount,Credit_Score,Credit_Risk,Loan_Approved
59,Male,Graduate,Business,110373,674771,616,Medium,No
49,Female,Postgraduate,Salaried,103362,573886,801,Low,Yes
35,Female,12th,Business,110517,583884,641,Medium,No
28,Male,12th,Salaried,85450,284627,538,High,Yes
41,Female,Graduate,Self-Employed,30382,681827,751,Low,No
59,Male,Graduate,Self-Employed,24437,592601,832,Low,Yes
39,Female,Postgraduate,Salaried,90971,949607,706,Low,No
43,Male,12th,Salaried,84612,771909,709,Low,No
31,Male,Postgraduate,Salaried,110355,164914,614,Medium,Yes
31,Male,12th,Salaried,81929,597993,724,Low,No
44,Female,Postgraduate,Self-Employed,122411,772724,633,Medium,No
56,Male,12th,Salaried,117518,909877,750,Low,Yes
60,Female,12th,Salaried,118864,153892,718,Low,Yes
44,Male,Graduate,Salaried,32329,784005,590,High,Yes
23,Male,Postgraduate,Business,145605,314167,545,High,Yes
42,Female,Postgraduate,Salaried,45169,693942,537,High,No
22,Male,Graduate,Salaried,107468,240868,641,Medium,No
44,Male,Postgraduate,Salaried,54594,130073,599,High,No
50,Female,12th,Salaried,96957,928629,827,Low,Yes
58,Male,Postgraduate,Business,80631,638717,689,Medium,Yes
22,Male,Graduate,Salaried,65033,154195,534,High,Yes
41,Male,Graduate,Salaried,83133,766987,646,Medium,No
53,Male,Postgraduate,Self-Employed,93165,83848,529,High,No
32,Female,Graduate,Self-Employed,93861,982883,833,Low,Yes
42,Female,Graduate,Salaried,72290,339910,583,High,No
45,Male,Graduate,Self-Employed,114031,118099,780,Low,No
47,Female,Postgraduate,Business,51750,479276,843,Low,No
48,Male,12th,Salaried,115155,119122,769,Low,No
36,Female,Postgraduate,Self-Employed,60461,721447,653,Medium,No
35,Male,Graduate,Self-Employed,93800,623156,601,Medium,No
23,Male,12th,Salaried,98222,693407,714,Low,No
57,Male,Graduate,Salaried,132020,466441,649,Medium,No
27,Male,Graduate,Salaried,44226,931718,582,High,Yes
41,Male,Graduate,Business,26721,318787,609,Medium,Yes
29,Male,Postgraduate,Business,76154,536275,774,Low,Yes
59,Female,12th,Self-Employed,40609,348871,700,Low,No
38,Male,Graduate,Salaried,72130,978509,783,Low,Yes
24,Female,Postgraduate,Self-Employed,92909,159079,672,Medium,No
45,Male,Graduate,Self-Employed,124211,902129,826,Low,No
34,Female,Graduate,Salaried,75249,66029,705,Low,Yes
29,Female,Graduate,Salaried,68895,296353,562,High,Yes
46,Female,Graduate,Business,114473,457442,572,High,No
22,Male,Graduate,Salaried,25656,244718,750,Low,No
40,Male,Graduate,Business,144865,471947,623,Medium,No
48,Female,12th,Salaried,94520,421602,620,Medium,Yes
27,Male,Graduate,Salaried,83740,946816,774,Low,No
28,Female,12th,Salaried,84309,118926,619,Medium,Yes
55,Male,12th,Salaried,49984,711357,816,Low,Yes
34,Female,12th,Business,138947,367650,663,Medium,No
37,Female,12th,Salaried,93822,914661,785,Low,No
56,Male,Graduate,Business,25901,493031,764,Low,No
60,Female,Graduate,Salaried,51552,92092,819,Low,No
24,Male,Postgraduate,Business,111245,374683,660,Medium,No
22,Female,12th,Salaried,51055,202889,807,Low,No
26,Female,Postgraduate,Business,57685,743221,588,High,No
24,Male,Graduate,Self-Employed,93965,587716,641,Medium,No
49,Male,Graduate,Salaried,34716,225006,702,Low,Yes
38,Male,Postgraduate,Salaried,134099,820915,808,Low,No
46,Female,Postgraduate,Business,31138,819727,726,Low,No
54,Male,12th,Business,55298,191330,833,Low,Yes
30,Female,Graduate,Salaried,71112,107775,721,Low,No
56,Female,Postgraduate,Self-Employed,43429,786940,540,High,No
34,Male,Graduate,Business,70200,317613,695,Medium,No
51,Male,12th,Business,91308,340998,567,High,No
